((2, 2, 3.662337713903369e-15, 2), nan)
((2, 2, 1.2415371850064106e-15, 2), nan)
((2, 2, 1e-15, 2), nan)
((2, 2, 1.9137235207582583e-15, 2), nan)
((2, 2, 1.541414581753642e-15, 2), nan)
((2, 2, 2.375958912842765e-15, 2), nan)
((2, 2, 2.9498413403416982e-15, 2), nan)
((2, 2, 1.3412717530678956e-14, 2), nan)
((2, 2, 5.645180755516974e-15, 2), nan)
((2, 2, 8.701563933188907e-15, 2), nan)
((2, 2, 7.008701824056907e-15, 2), nan)
((2, 2, 2.5668233015746944e-14, 2), nan)
((2, 2, 1.0803315190764665e-14, 2), nan)
((2, 2, 1.6652387566325355e-14, 2), nan)
((2, 2, 3.9565388658322764e-14, 2), nan)
((2, 2, 4.912190125853861e-14, 2), nan)
((2, 2, 3.186806576245907e-14, 2), nan)
((2, 2, 7.5717214883374e-14, 2), nan)
((2, 2, 9.400573782282965e-14, 2), nan)
((2, 2, 2.067455838273133e-14, 2), nan)
((2, 2, 2.2335377063851234e-13, 2), nan)
((2, 2, 6.098666701068888e-14, 2), nan)
((2, 2, 1.4490181504862009e-13, 2), nan)
((2, 2, 2.7730201165910607e-13, 2), nan)
((2, 2, 1.1671161911100657e-13, 2), nan)
((2, 2, 3.442807589518628e-13, 2), nan)
((2, 2, 1.7990099155778333e-13, 2), nan)
((2, 2, 5.306793820656121e-13, 2), nan)
((2, 2, 4.2743736432096636e-13, 2), nan)
((2, 2, 6.588581861506815e-13, 2), nan)
((2, 2, 8.179969377519468e-13, 2), nan)
((2, 2, 1.015573615440416e-12, 2), nan)
((2, 2, 1.9435271149298263e-12, 2), nan)
((2, 2, 1.2608724076806822e-12, 2), nan)
((2, 2, 1.5654199796841293e-12, 2), nan)
((2, 2, 2.9957810349864334e-12, 2), nan)
((2, 2, 4.6177405710691065e-12, 2), nan)
((2, 2, 2.412961183253607e-12, 2), nan)
((2, 2, 5.733096629695033e-12, 2), nan)
((2, 2, 8.837078743614585e-12, 2), nan)
((2, 2, 3.719373553072648e-12, 2), nan)
((2, 2, 1.0971561867027239e-11, 2), nan)
((2, 2, 7.117852651001311e-12, 2), nan)
((2, 2, 1.691172544644807e-11, 2), nan)
((2, 2, 2.0996536004384502e-11, 2), nan)
((2, 2, 1.3621602035512731e-11, 2), nan)
((2, 2, 4.018156480603808e-11, 2), nan)
((2, 2, 3.236436676347363e-11, 2), nan)
((2, 2, 2.6067980205769282e-11, 2), nan)
((2, 2, 4.9886906858441176e-11, 2), nan)
((2, 2, 1.1852924098447017e-10, 2), nan)
((2, 2, 6.193644990970605e-11, 2), nan)
((2, 2, 7.6896405670187e-11, 2), nan)
((2, 2, 1.471584601928056e-10, 2), nan)
((2, 2, 9.546974703287536e-11, 2), nan)
((2, 2, 1.827027004176545e-10, 2), nan)
((2, 2, 3.4964245509531367e-10, 2), nan)
((2, 2, 4.3409410945776605e-10, 2), nan)
((2, 2, 2.2683219636960434e-10, 2), nan)
((2, 2, 4.546928455862402e-15, 2), nan)
((2, 2, 3.662337713903369e-15, 2), nan)
((2, 2, 1.2415371850064106e-15, 2), nan)
((2, 2, 1e-15, 2), nan)
((2, 2, 1.9137235207582583e-15, 2), nan)
((2, 2, 1.541414581753642e-15, 2), nan)
((2, 2, 2.375958912842765e-15, 2), nan)
((2, 2, 2.9498413403416982e-15, 2), nan)
((2, 2, 1.3412717530678956e-14, 2), nan)
((2, 2, 5.645180755516974e-15, 2), nan)
((2, 2, 8.701563933188907e-15, 2), nan)
((2, 2, 7.008701824056907e-15, 2), nan)
((2, 2, 2.5668233015746944e-14, 2), nan)
((2, 2, 1.0803315190764665e-14, 2), nan)
((2, 2, 1.6652387566325355e-14, 2), nan)
((2, 2, 3.9565388658322764e-14, 2), nan)
((2, 2, 4.912190125853861e-14, 2), nan)
((2, 2, 3.186806576245907e-14, 2), nan)
((2, 2, 7.5717214883374e-14, 2), nan)
((2, 2, 9.400573782282965e-14, 2), nan)
((2, 2, 2.067455838273133e-14, 2), nan)
((2, 2, 2.2335377063851234e-13, 2), nan)
((2, 2, 6.098666701068888e-14, 2), nan)
((2, 2, 1.4490181504862009e-13, 2), nan)
((2, 2, 2.7730201165910607e-13, 2), nan)
((2, 2, 1.1671161911100657e-13, 2), nan)
((2, 2, 3.442807589518628e-13, 2), nan)
((2, 2, 1.7990099155778333e-13, 2), nan)
((2, 2, 5.306793820656121e-13, 2), nan)
((2, 2, 4.2743736432096636e-13, 2), nan)
((2, 2, 6.588581861506815e-13, 2), nan)
((2, 2, 8.179969377519468e-13, 2), nan)
((2, 2, 1.015573615440416e-12, 2), nan)
((2, 2, 1.9435271149298263e-12, 2), nan)
((2, 2, 1.2608724076806822e-12, 2), nan)
((2, 2, 1.5654199796841293e-12, 2), nan)
((2, 2, 2.9957810349864334e-12, 2), nan)
((2, 2, 4.6177405710691065e-12, 2), nan)
((2, 2, 2.412961183253607e-12, 2), nan)
((2, 2, 5.733096629695033e-12, 2), nan)
((2, 2, 8.837078743614585e-12, 2), nan)
((2, 2, 3.719373553072648e-12, 2), nan)
((2, 2, 1.0971561867027239e-11, 2), nan)
((2, 2, 7.117852651001311e-12, 2), nan)
((2, 2, 1.691172544644807e-11, 2), nan)
((2, 2, 2.0996536004384502e-11, 2), nan)
((2, 2, 1.3621602035512731e-11, 2), nan)
((2, 2, 4.018156480603808e-11, 2), nan)
((2, 2, 3.236436676347363e-11, 2), nan)
((2, 2, 2.6067980205769282e-11, 2), nan)
((2, 2, 4.9886906858441176e-11, 2), nan)
((2, 2, 1.1852924098447017e-10, 2), nan)
((2, 2, 6.193644990970605e-11, 2), nan)
((2, 2, 7.6896405670187e-11, 2), nan)
((2, 2, 1.471584601928056e-10, 2), nan)
((2, 2, 9.546974703287536e-11, 2), nan)
((2, 2, 1.827027004176545e-10, 2), nan)
((2, 2, 3.4964245509531367e-10, 2), nan)
((2, 2, 4.3409410945776605e-10, 2), nan)
((2, 2, 2.2683219636960434e-10, 2), nan)
((2, 2, 2.8162060654953993e-10, 2), nan)
((2, 2, 8.307361074919368e-10, 2), nan)
((2, 2, 5.389439786840595e-10, 2), nan)
((2, 2, 6.691189901715622e-10, 2), nan)
((2, 2, 3.777297646467454e-09, 2), nan)
((2, 2, 1.973794858815773e-09, 2), nan)
((2, 2, 1.5897992284504803e-09, 2), nan)
((2, 2, 1.0313897683787222e-09, 2), nan)
((2, 2, 2.45053971279426e-09, 2), nan)
((2, 2, 4.689655486926543e-09, 2), nan)
((2, 2, 4.546928455862402e-15, 2), nan)
((2, 2, 3.662337713903369e-15, 2), nan)
((2, 2, 1.2415371850064106e-15, 2), nan)
((2, 2, 1e-15, 2), nan)
((2, 2, 1.9137235207582583e-15, 2), nan)
((2, 2, 1.541414581753642e-15, 2), nan)
((2, 2, 2.375958912842765e-15, 2), nan)
((2, 2, 2.9498413403416982e-15, 2), nan)
((2, 2, 1.3412717530678956e-14, 2), nan)
((2, 2, 5.645180755516974e-15, 2), nan)
((2, 2, 8.701563933188907e-15, 2), nan)
((2, 2, 7.008701824056907e-15, 2), nan)
((2, 2, 2.5668233015746944e-14, 2), nan)
((2, 2, 1.0803315190764665e-14, 2), nan)
((2, 2, 1.6652387566325355e-14, 2), nan)
((2, 2, 3.9565388658322764e-14, 2), nan)
((2, 2, 4.912190125853861e-14, 2), nan)
((2, 2, 3.186806576245907e-14, 2), nan)
((2, 2, 7.5717214883374e-14, 2), nan)
((2, 2, 9.400573782282965e-14, 2), nan)
((2, 2, 2.067455838273133e-14, 2), nan)
((2, 2, 2.2335377063851234e-13, 2), nan)
((2, 2, 6.098666701068888e-14, 2), nan)
((2, 2, 1.4490181504862009e-13, 2), nan)
((2, 2, 2.7730201165910607e-13, 2), nan)
((2, 2, 1.1671161911100657e-13, 2), nan)
((2, 2, 3.442807589518628e-13, 2), nan)
((2, 2, 1.7990099155778333e-13, 2), nan)
((2, 2, 5.306793820656121e-13, 2), nan)
((2, 2, 4.2743736432096636e-13, 2), nan)
((2, 2, 6.588581861506815e-13, 2), nan)
((2, 2, 8.179969377519468e-13, 2), nan)
((2, 2, 1.015573615440416e-12, 2), nan)
((2, 2, 1.9435271149298263e-12, 2), nan)
((2, 2, 1.2608724076806822e-12, 2), nan)
((2, 2, 1.5654199796841293e-12, 2), nan)
((2, 2, 2.9957810349864334e-12, 2), nan)
((2, 2, 4.6177405710691065e-12, 2), nan)
((2, 2, 2.412961183253607e-12, 2), nan)
((2, 2, 5.733096629695033e-12, 2), nan)
((2, 2, 8.837078743614585e-12, 2), nan)
((2, 2, 3.719373553072648e-12, 2), nan)
((2, 2, 1.0971561867027239e-11, 2), nan)
((2, 2, 7.117852651001311e-12, 2), nan)
((2, 2, 1.691172544644807e-11, 2), nan)
((2, 2, 2.0996536004384502e-11, 2), nan)
((2, 2, 1.3621602035512731e-11, 2), nan)
((2, 2, 4.018156480603808e-11, 2), nan)
((2, 2, 3.236436676347363e-11, 2), nan)
((2, 2, 2.6067980205769282e-11, 2), nan)
((2, 2, 4.9886906858441176e-11, 2), nan)
((2, 2, 1.1852924098447017e-10, 2), nan)
((2, 2, 6.193644990970605e-11, 2), nan)
((2, 2, 7.6896405670187e-11, 2), nan)
((2, 2, 1.471584601928056e-10, 2), nan)
((2, 2, 9.546974703287536e-11, 2), nan)
((2, 2, 1.827027004176545e-10, 2), nan)
((2, 2, 3.4964245509531367e-10, 2), nan)
((2, 2, 4.3409410945776605e-10, 2), nan)
((2, 2, 2.2683219636960434e-10, 2), nan)
((2, 2, 2.8162060654953993e-10, 2), nan)
((2, 2, 8.307361074919368e-10, 2), nan)
((2, 2, 5.389439786840595e-10, 2), nan)
((2, 2, 6.691189901715622e-10, 2), nan)
((2, 2, 3.777297646467454e-09, 2), nan)
((2, 2, 1.973794858815773e-09, 2), nan)
((2, 2, 1.5897992284504803e-09, 2), nan)
((2, 2, 1.0313897683787222e-09, 2), nan)
((2, 2, 2.45053971279426e-09, 2), nan)
((2, 2, 4.689655486926543e-09, 2), nan)
((2, 2, 3.0424361767690036e-09, 2), nan)
((2, 2, 1.2805087496773325e-09, 2), nan)
((2, 2, 1.1142428752325099e-08, 2), nan)
((2, 2, 8.974704009584349e-09, 2), nan)
((2, 2, 7.2287033509495805e-09, 2), nan)
((2, 2, 2.1323527981697634e-08, 2), nan)
((2, 2, 2.647395290480231e-08, 2), nan)
((2, 2, 1.7175102154984983e-08, 2), nan)
((2, 2, 4.080733704412156e-08, 2), nan)
((2, 2, 3.2868396965420546e-08, 2), nan)
((2, 2, 4.546928455862402e-15, 2), nan)
((2, 2, 3.662337713903369e-15, 2), nan)
((2, 2, 1.2415371850064106e-15, 2), nan)
((2, 2, 1e-15, 2), nan)
((2, 2, 1.9137235207582583e-15, 2), nan)
((2, 2, 1.541414581753642e-15, 2), nan)
((2, 2, 2.375958912842765e-15, 2), nan)
((2, 2, 2.9498413403416982e-15, 2), nan)
((2, 2, 1.3412717530678956e-14, 2), nan)
((2, 2, 5.645180755516974e-15, 2), nan)
((2, 2, 8.701563933188907e-15, 2), nan)
((2, 2, 7.008701824056907e-15, 2), nan)
((2, 2, 2.5668233015746944e-14, 2), nan)
((2, 2, 1.0803315190764665e-14, 2), nan)
((2, 2, 1.6652387566325355e-14, 2), nan)
((2, 2, 3.9565388658322764e-14, 2), nan)
((2, 2, 4.912190125853861e-14, 2), nan)
((2, 2, 3.186806576245907e-14, 2), nan)
((2, 2, 7.5717214883374e-14, 2), nan)
((2, 2, 9.400573782282965e-14, 2), nan)
((2, 2, 2.067455838273133e-14, 2), nan)
((2, 2, 2.2335377063851234e-13, 2), nan)
((2, 2, 6.098666701068888e-14, 2), nan)
((2, 2, 1.4490181504862009e-13, 2), nan)
((2, 2, 2.7730201165910607e-13, 2), nan)
((2, 2, 1.1671161911100657e-13, 2), nan)
((2, 2, 3.442807589518628e-13, 2), nan)
((2, 2, 1.7990099155778333e-13, 2), nan)
((2, 2, 5.306793820656121e-13, 2), nan)
((2, 2, 4.2743736432096636e-13, 2), nan)
((2, 2, 6.588581861506815e-13, 2), nan)
((2, 2, 8.179969377519468e-13, 2), nan)
((2, 2, 1.015573615440416e-12, 2), nan)
((2, 2, 1.9435271149298263e-12, 2), nan)
((2, 2, 1.2608724076806822e-12, 2), nan)
((2, 2, 1.5654199796841293e-12, 2), nan)
((2, 2, 2.9957810349864334e-12, 2), nan)
((2, 2, 4.6177405710691065e-12, 2), nan)
((2, 2, 2.412961183253607e-12, 2), nan)
((2, 2, 5.733096629695033e-12, 2), nan)
((2, 2, 8.837078743614585e-12, 2), nan)
((2, 2, 3.719373553072648e-12, 2), nan)
((2, 2, 1.0971561867027239e-11, 2), nan)
((2, 2, 7.117852651001311e-12, 2), nan)
((2, 2, 1.691172544644807e-11, 2), nan)
((2, 2, 2.0996536004384502e-11, 2), nan)
((2, 2, 1.3621602035512731e-11, 2), nan)
((2, 2, 4.018156480603808e-11, 2), nan)
((2, 2, 3.236436676347363e-11, 2), nan)
((2, 2, 2.6067980205769282e-11, 2), nan)
((2, 2, 4.9886906858441176e-11, 2), nan)
((2, 2, 1.1852924098447017e-10, 2), nan)
((2, 2, 6.193644990970605e-11, 2), nan)
((2, 2, 7.6896405670187e-11, 2), nan)
((2, 2, 1.471584601928056e-10, 2), nan)
((2, 2, 9.546974703287536e-11, 2), nan)
((2, 2, 1.827027004176545e-10, 2), nan)
((2, 2, 3.4964245509531367e-10, 2), nan)
((2, 2, 4.3409410945776605e-10, 2), nan)
((2, 2, 2.2683219636960434e-10, 2), nan)
((2, 2, 2.8162060654953993e-10, 2), nan)
((2, 2, 8.307361074919368e-10, 2), nan)
((2, 2, 5.389439786840595e-10, 2), nan)
((2, 2, 6.691189901715622e-10, 2), nan)
((2, 2, 3.777297646467454e-09, 2), nan)
((2, 2, 1.973794858815773e-09, 2), nan)
((2, 2, 1.5897992284504803e-09, 2), nan)
((2, 2, 1.0313897683787222e-09, 2), nan)
((2, 2, 2.45053971279426e-09, 2), nan)
((2, 2, 4.689655486926543e-09, 2), nan)
((2, 2, 3.0424361767690036e-09, 2), nan)
((2, 2, 1.2805087496773325e-09, 2), nan)
((2, 2, 1.1142428752325099e-08, 2), nan)
((2, 2, 8.974704009584349e-09, 2), nan)
((2, 2, 7.2287033509495805e-09, 2), nan)
((2, 2, 2.1323527981697634e-08, 2), nan)
((2, 2, 2.647395290480231e-08, 2), nan)
((2, 2, 1.7175102154984983e-08, 2), nan)
((2, 2, 4.080733704412156e-08, 2), nan)
((2, 2, 3.2868396965420546e-08, 2), nan)
((2, 2, 5.822381671888648e-09, 2), nan)
((2, 2, 6.290102436234466e-08, 2), nan)
((2, 2, 1.3833739627296222e-08, 2), nan)
((2, 2, 7.809396072084505e-08, 2), nan)
((2, 2, 5.06638263613665e-08, 2), nan)
((2, 2, 1.494502494606527e-07, 2), nan)
((2, 2, 2.3036479376536947e-07, 2), nan)
((2, 2, 3.55087652232611e-07, 2), nan)
((2, 2, 9.695655615935935e-08, 2), nan)
((2, 2, 2.860064575760391e-07, 2), nan)
((2, 2, 4.546928455862402e-15, 2), nan)
((2, 2, 3.662337713903369e-15, 2), nan)
((2, 2, 1.2415371850064106e-15, 2), nan)
((2, 2, 1e-15, 2), nan)
((2, 2, 1.9137235207582583e-15, 2), nan)
((2, 2, 1.541414581753642e-15, 2), nan)
((2, 2, 2.375958912842765e-15, 2), nan)
((2, 2, 2.9498413403416982e-15, 2), nan)
((2, 2, 1.3412717530678956e-14, 2), nan)
((2, 2, 5.645180755516974e-15, 2), nan)
((2, 2, 8.701563933188907e-15, 2), nan)
((2, 2, 7.008701824056907e-15, 2), nan)
((2, 2, 2.5668233015746944e-14, 2), nan)
((2, 2, 1.0803315190764665e-14, 2), nan)
((2, 2, 1.6652387566325355e-14, 2), nan)
((2, 2, 3.9565388658322764e-14, 2), nan)
((2, 2, 4.912190125853861e-14, 2), nan)
((2, 2, 3.186806576245907e-14, 2), nan)
((2, 2, 7.5717214883374e-14, 2), nan)
((2, 2, 9.400573782282965e-14, 2), nan)
((2, 2, 2.067455838273133e-14, 2), nan)
((2, 2, 2.2335377063851234e-13, 2), nan)
((2, 2, 6.098666701068888e-14, 2), nan)
((2, 2, 1.4490181504862009e-13, 2), nan)
((2, 2, 2.7730201165910607e-13, 2), nan)
((2, 2, 1.1671161911100657e-13, 2), nan)
((2, 2, 3.442807589518628e-13, 2), nan)
((2, 2, 1.7990099155778333e-13, 2), nan)
((2, 2, 5.306793820656121e-13, 2), nan)
((2, 2, 4.2743736432096636e-13, 2), nan)
((2, 2, 6.588581861506815e-13, 2), nan)
((2, 2, 8.179969377519468e-13, 2), nan)
((2, 2, 1.015573615440416e-12, 2), nan)
((2, 2, 1.9435271149298263e-12, 2), nan)
((2, 2, 1.2608724076806822e-12, 2), nan)
((2, 2, 1.5654199796841293e-12, 2), nan)
((2, 2, 2.9957810349864334e-12, 2), nan)
((2, 2, 4.6177405710691065e-12, 2), nan)
((2, 2, 2.412961183253607e-12, 2), nan)
((2, 2, 5.733096629695033e-12, 2), nan)
((2, 2, 8.837078743614585e-12, 2), nan)
((2, 2, 3.719373553072648e-12, 2), nan)
((2, 2, 1.0971561867027239e-11, 2), nan)
((2, 2, 7.117852651001311e-12, 2), nan)
((2, 2, 1.691172544644807e-11, 2), nan)
((2, 2, 2.0996536004384502e-11, 2), nan)
((2, 2, 1.3621602035512731e-11, 2), nan)
((2, 2, 4.018156480603808e-11, 2), nan)
((2, 2, 3.236436676347363e-11, 2), nan)
((2, 2, 2.6067980205769282e-11, 2), nan)
((2, 2, 4.9886906858441176e-11, 2), nan)
((2, 2, 1.1852924098447017e-10, 2), nan)
((2, 2, 6.193644990970605e-11, 2), nan)
((2, 2, 7.6896405670187e-11, 2), nan)
((2, 2, 1.471584601928056e-10, 2), nan)
((2, 2, 9.546974703287536e-11, 2), nan)
((2, 2, 1.827027004176545e-10, 2), nan)
((2, 2, 3.4964245509531367e-10, 2), nan)
((2, 2, 4.3409410945776605e-10, 2), nan)
((2, 2, 2.2683219636960434e-10, 2), nan)
((2, 2, 2.8162060654953993e-10, 2), nan)
((2, 2, 8.307361074919368e-10, 2), nan)
((2, 2, 5.389439786840595e-10, 2), nan)
((2, 2, 6.691189901715622e-10, 2), nan)
((2, 2, 3.777297646467454e-09, 2), nan)
((2, 2, 1.973794858815773e-09, 2), nan)
((2, 2, 1.5897992284504803e-09, 2), nan)
((2, 2, 1.0313897683787222e-09, 2), nan)
((2, 2, 2.45053971279426e-09, 2), nan)
((2, 2, 4.689655486926543e-09, 2), nan)
((2, 2, 3.0424361767690036e-09, 2), nan)
((2, 2, 1.2805087496773325e-09, 2), nan)
((2, 2, 1.1142428752325099e-08, 2), nan)
((2, 2, 8.974704009584349e-09, 2), nan)
((2, 2, 7.2287033509495805e-09, 2), nan)
((2, 2, 2.1323527981697634e-08, 2), nan)
((2, 2, 2.647395290480231e-08, 2), nan)
((2, 2, 1.7175102154984983e-08, 2), nan)
((2, 2, 4.080733704412156e-08, 2), nan)
((2, 2, 3.2868396965420546e-08, 2), nan)
((2, 2, 5.822381671888648e-09, 2), nan)
((2, 2, 6.290102436234466e-08, 2), nan)
((2, 2, 1.3833739627296222e-08, 2), nan)
((2, 2, 7.809396072084505e-08, 2), nan)
((2, 2, 5.06638263613665e-08, 2), nan)
((2, 2, 1.494502494606527e-07, 2), nan)
((2, 2, 2.3036479376536947e-07, 2), nan)
((2, 2, 3.55087652232611e-07, 2), nan)
((2, 2, 9.695655615935935e-08, 2), nan)
((2, 2, 2.860064575760391e-07, 2), nan)
((2, 2, 4.4085452418341295e-07, 2), nan)
((2, 2, 1.203751698020067e-07, 2), nan)
((2, 2, 5.47337284952015e-07, 2), nan)
((2, 2, 1.3004509005129005e-06, 2), nan)
((2, 2, 1.0474522360006364e-06, 2), nan)
((2, 2, 1.855480420138846e-07, 2), nan)
((2, 2, 2.4887034759027855e-06, 2), nan)
((2, 2, 1.6145581502618382e-06, 2), nan)
((2, 2, 8.436736721624844e-07, 2), nan)
((2, 2, 6.795395920083764e-07, 2), nan)
((2, 2, 4.546928455862402e-15, 2), nan)
((2, 2, 3.662337713903369e-15, 2), nan)
